Time,[A],[B]
0,1,100
1,5.27931,105.019
2,26.1658,88.7753
3,63.9243,39.0656
4,66.8468,10.9759
5,51.0532,3.7058
6,35.9958,1.72526
7,24.78,1.04489
8,16.9075,0.764791
9,11.4917,0.638441
10,7.79715,0.583185
11,5.28676,0.56639
12,3.58433,0.573452
13,2.43088,0.59721
14,1.64962,0.633949
15,1.1204,0.681715
16,0.761763,0.739535
17,0.518575,0.807041
18,0.353535,0.884268
19,0.241416,0.97154
20,0.16516,1.06941
21,0.113225,1.17864
22,0.0777998,1.30014
23,0.0535956,1.43501
24,0.0370266,1.58451
25,0.0256605,1.75007
26,0.0178456,1.9333
27,0.0124586,2.13598
28,0.008735,2.36013
29,0.00615323,2.60797
30,0.0043572,2.88195
31,0.00310324,3.18481
32,0.00222428,3.51957
33,0.00160555,3.88958
34,0.00116798,4.29854
35,0.000857007,4.75052
36,0.000634837,5.25006
37,0.00047523,5.80215
38,0.000359905,6.41231
39,0.000276088,7.08666
40,0.000214816,7.83193
41,0.000169783,8.65559
42,0.000136535,9.56588
43,0.000111921,10.5719
44,9.3706e-05,11.6837
45,8.03121e-05,12.9125
46,7.06349e-05,14.2705
47,6.39239e-05,15.7713
48,5.97058e-05,17.43
49,5.7746e-05,19.2631
50,5.80461e-05,21.289
51,6.08879e-05,23.5279
52,6.69487e-05,26.0024
53,7.75455e-05,28.737
54,9.51377e-05,31.7592
55,0.000124382,35.0993
56,0.000174451,38.7906
57,0.000264428,42.8701
58,0.000436726,47.3785
59,0.000793036,52.3607
60,0.00159914,57.8662
61,0.0036205,63.9489
62,0.00931528,70.666
63,0.027601,78.0721
64,0.0955179,86.1898
65,0.391231,94.8613
66,1.90147,102.879
67,10.2653,102.962
68,42.0717,70.6869
69,69.699,23.8756
70,61.1669,6.88525
71,44.6944,2.64352
72,31.1195,1.37794
73,21.3273,0.90653
74,14.5242,0.702984
75,9.86339,0.610586
76,6.68991,0.573022
77,4.5356,0.56683
78,3.07532,0.581084
79,2.08611,0.610282
80,1.41609,0.651536
81,0.962166,0.703343
82,0.654488,0.765001
83,0.445791,0.836318
84,0.304104,0.917452
85,0.207808,1.00883
86,0.14228,1.11108
87,0.0976253,1.22502
88,0.0671468,1.35165
89,0.046307,1.49214
90,0.0320298,1.64779
91,0.0222272,1.82011
92,0.0154807,2.01078
93,0.0108252,2.22168
94,0.00760349,2.45489
95,0.00536685,2.71273
96,0.00380874,2.99775
97,0.00271923,3.31281
98,0.0019543,3.66106
99,0.00141487,4.04596
100,0.00103266,4.47137
101,0.000760476,4.94154
102,0.000565598,5.46117
103,0.000425283,6.03547
104,0.000323664,6.67017
105,0.000249637,7.37164
106,0.000195403,8.14689
107,0.000155466,9.00367
108,0.000125941,9.95057
109,0.000104075,10.9971
110,8.79199e-05,12.1536
111,7.61015e-05,13.4318
112,6.76667e-05,14.8444
113,6.19814e-05,16.4056
114,5.8669e-05,18.1309
115,5.75862e-05,20.0378
116,5.88365e-05,22.1451
117,6.28384e-05,24.4741
118,7.04822e-05,27.0481
119,8.34538e-05,29.8927
120,0.000104906,33.0365
121,0.000140887,36.5108
122,0.000203555,40.3506
123,0.000318835,44.5941
124,0.00054603,49.2836
125,0.00103206,54.466
126,0.00217535,60.1924
127,0.00517196,66.5184
128,0.0140456,73.5013
129,0.0441689,81.1893
130,0.163129,89.567
131,0.715608,98.2601
132,3.68615,104.768
133,19.2665,95.6319
134,57.7128,49.5009
135,68.981,14.3257
136,54.6031,4.53638
137,38.8676,1.97873
138,26.8426,1.14095
139,18.3385,0.806695
140,12.4716,0.657555
141,8.4642,0.590949
142,5.73953,0.567617
143,3.89122,0.570398
144,2.63877,0.591017
145,1.79043,0.625219
146,1.21579,0.670761
147,0.826423,0.726502
148,0.562435,0.79197
149,0.383312,0.867124
150,0.261655,0.952233
151,0.178933,1.04781
152,0.122611,1.15456
153,0.0842065,1.27338
154,0.0579764,1.40533
155,0.0400281,1.55163
156,0.0277215,1.71367
157,0.0192641,1.89301
158,0.0134376,2.09143
159,0.00941252,2.31086
160,0.00662363,2.55349
161,0.00468493,2.82173
162,0.00333243,3.11825
163,0.00238522,3.446
164,0.00171905,3.80826
165,0.00124841,4.20866
166,0.000914296,4.65119
167,0.000675861,5.14028
168,0.000504773,5.68082
169,0.000381305,6.27822
170,0.00029168,6.93846
171,0.000226241,7.66814
172,0.000178198,8.47457
173,0.000142758,9.36582
174,0.00011653,10.3508
175,9.71127e-05,11.4394
176,8.28052e-05,12.6425
177,7.2415e-05,13.9721
178,6.51248e-05,15.4415
179,6.04069e-05,17.0655
180,5.79779e-05,18.8602
181,5.77874e-05,20.8438
182,6.00515e-05,23.0359
183,6.53492e-05,25.4586
184,7.4832e-05,28.136
185,9.06553e-05,31.0951
186,0.000116877,34.3653
187,0.000161414,37.9794
188,0.000240528,41.9736
189,0.000389831,46.3877
190,0.000693282,51.2658
191,0.00136617,56.6563
192,0.00301532,62.6124
193,0.00754325,69.1906
194,0.0216685,76.4472
195,0.0724805,84.4171
196,0.286232,93.0093
197,1.34359,101.414
198,7.20135,104.562
199,33.2006,81.1296
200,67.5453,31.2651
